id;companyId;storeName;storeCity;containerId;createdAt;customer;displayId;engineId;engineName;engineType;extraInfo;integrated;integrationId;isTest;orderTiming;orderType;salesChannel;scheduledAt;status;preparationTime;takeOutTimeInSeconds;totalAmount;rating;updatedAt;version
12;MN55D3;Delivery do Centro;Rio de Janeiro;hcgjCg;18/01/2025 00:00;49;Zf93ig;380311;DirectOrder;POS;Assumenda aut praesentium omnis non deleniti eos.;True;3504;False;IMMEDIATE;TAKEOUT;99FOOD;;CONCLUDED;27;1411;51,37;2.9;18/01/2025 02:00;v2.0.0
13;CP53G6;Emporio Serra Verde;Curitiba;rlaUwy;18/03/2025 00:00;480;yP46gg;322842;DirectOrder;POS;Laboriosam laborum delectus maiores expedita.;False;1188;False;IMMEDIATE;TAKEOUT;APP;;CONCLUDED;25;1122;100,00;4.0;18/03/2025 02:00;v2.0.0
14;ER35J8;Pizza do Porto;Porto Alegre;BmfIVa;07/04/2025 00:00;115;Zc11JU;917394;DirectOrder;POS;Inventore quo ad.;False;8123;False;IMMEDIATE;INDOOR;APP;;CONCLUDED;42;1386;68,50;3.9;07/04/2025 02:00;v2.0.0
15;LXK0A1;Cantina Liberdade;Sao Paulo;bVeXWy;03/04/2025 00:00;513;yJ47EL;693076;DirectOrder;POS;Tenetur id nihil error cumque velit.;True;9317;False;IMMEDIATE;TAKEOUT;WHATSAPP;;CONCLUDED;29;1395;35,66;3.2;03/04/2025 02:00;v2.0.0
16;AJ81E4;Cantina Horizonte;Belo Horizonte;nFsfHz;18/04/2025 00:00;157;sX39QO;224970;DirectOrder;POS;Quasi nesciunt perferendis nostrum incidunt.;False;3646;False;IMMEDIATE;TAKEOUT;EPADOCA;;CONCLUDED;20;960;41,12;3.6;18/04/2025 02:00;v2.0.0
17;BV62F5;Restaurante Mar Azul;Salvador;xwZnqG;04/03/2025 00:00;900;aZ54vN;552421;DirectOrder;POS;Modi praesentium beatae optio.;False;4923;False;IMMEDIATE;DELIVERY;APP;;PENDING;37;1400;100,00;4.3;04/03/2025 02:00;v2.0.0
18;FS26K9;Casa do Chef Recife;Recife;NbvZjJ;11/01/2025 00:00;71;bR41MJ;517896;DirectOrder;POS;Optio itaque provident ipsum repudiandae amet.;True;3103;False;SCHEDULED;TAKEOUT;APP;;CONCLUDED;35;1507;89,47;3.7;11/01/2025 02:00;v2.0.0
19;QW77C2;Padaria Vila Nova;Campinas;OyAXQT;03/02/2025 00:00;988;SU20YJ;626340;DirectOrder;POS;Id excepturi corrupti totam unde possimus natus.;True;9835;False;IMMEDIATE;TAKEOUT;EPADOCA;;CONCLUDED;10;1364;30,80;4.2;03/02/2025 02:00;v2.0.0
20;AJ81E4;Cantina Horizonte;Belo Horizonte;ZTjSsl;21/02/2025 00:00;449;lq02ZZ;161830;DirectOrder;POS;Voluptas animi expedita blanditiis.;False;2982;False;IMMEDIATE;DELIVERY;WHATSAPP;;CONCLUDED;26;802;45,71;3.5;21/02/2025 02:00;v2.0.0
21;ZP930B;Boteco Paulista;Sao Paulo;pCXGsN;13/02/2025 00:00;603;zD38nr;119341;DirectOrder;POS;Explicabo provident ea accusantium nisi quam ipsam.;True;1117;False;IMMEDIATE;TAKEOUT;APP;;CONCLUDED;28;1096;52,83;3.3;13/02/2025 02:00;v2.0.0
22;LXK0A1;Cantina Liberdade;Sao Paulo;AYBjVP;30/01/2025 00:00;339;gn97dp;653409;DirectOrder;POS;Sed tenetur fugit cupiditate voluptates architecto.;True;9423;False;IMMEDIATE;INDOOR;APP;;CONCLUDED;33;1265;35,89;3.2;30/01/2025 02:00;v2.0.0
23;DQ44H7;Sabores do Norte;Manaus;VBVLEt;28/01/2025 00:00;904;XC27lI;426427;DirectOrder;POS;Consequuntur laborum rerum doloribus.;False;4981;False;SCHEDULED;INDOOR;99FOOD;;CANCELED;27;1393;56,09;3.1;28/01/2025 02:00;v2.0.0
24;MN55D3;Delivery do Centro;Rio de Janeiro;IEkdva;13/01/2025 00:00;434;bg90Bk;885724;DirectOrder;POS;Ipsum consectetur minus sunt perferendis.;False;8651;False;IMMEDIATE;TAKEOUT;APP;;CONCLUDED;27;907;61,15;3.0;13/01/2025 02:00;v2.0.0
25;ZP930B;Boteco Paulista;Sao Paulo;WUpdUP;08/01/2025 00:00;883;Yr04hF;179847;DirectOrder;POS;Iure magnam ducimus est molestiae repellat quisquam tempore.;True;5073;False;IMMEDIATE;DELIVERY;WEB;;CONCLUDED;22;1153;57,93;3.3;08/01/2025 02:00;v2.0.0
26;ER35J8;Pizza do Porto;Porto Alegre;rYCtlh;27/02/2025 00:00;474;OR08ys;269441;DirectOrder;POS;Eaque explicabo tempore laboriosam beatae beatae deleniti facere.;True;2235;False;SCHEDULED;TAKEOUT;APP;;CONCLUDED;32;1039;58,13;3.6;27/02/2025 02:00;v2.0.0
27;ZP930B;Boteco Paulista;Sao Paulo;zbOXKz;07/01/2025 00:00;16;ZB45MO;388846;DirectOrder;POS;Quae expedita voluptate quidem ea sit eius facilis.;True;4872;False;IMMEDIATE;INDOOR;EPADOCA;;CONCLUDED;30;1234;53,40;3.3;07/01/2025 02:00;v2.0.0
28;DQ44H7;Sabores do Norte;Manaus;PdJCCV;03/03/2025 00:00;61;Pw40Ge;533941;DirectOrder;POS;Eligendi nobis autem quas.;True;7209;False;IMMEDIATE;INDOOR;WEB;;CONCLUDED;16;1194;64,87;3.0;03/03/2025 02:00;v2.0.0
29;AJ81E4;Cantina Horizonte;Belo Horizonte;MjsUtZ;29/04/2025 00:00;434;Xt14ax;756287;DirectOrder;POS;Temporibus tempore officiis velit illo cum.;False;3536;False;IMMEDIATE;INDOOR;99FOOD;;CONCLUDED;24;1260;45,49;4.2;29/04/2025 02:00;v2.0.0
30;MN55D3;Delivery do Centro;Rio de Janeiro;KzLprs;08/01/2025 00:00;766;FL31CD;393259;DirectOrder;POS;Laudantium laboriosam exercitationem voluptatum ipsa distinctio repellat.;False;1936;False;IMMEDIATE;TAKEOUT;99FOOD;;CONCLUDED;36;1350;69,56;2.9;08/01/2025 02:00;v2.0.0
31;DQ44H7;Sabores do Norte;Manaus;KZkACF;06/03/2025 00:00;59;uQ52OF;695276;DirectOrder;POS;Repellat provident nesciunt numquam qui dignissimos.;True;4044;False;IMMEDIATE;TAKEOUT;WHATSAPP;;CONCLUDED;34;919;70,83;2.9;06/03/2025 02:00;v2.0.0
32;ZP930B;Boteco Paulista;Sao Paulo;hDojQs;28/03/2025 00:00;965;jQ46OU;291935;DirectOrder;POS;Beatae aliquid eligendi minus illum.;True;1651;False;IMMEDIATE;INDOOR;WHATSAPP;;CONCLUDED;17;1086;60,81;3.7;28/03/2025 02:00;v2.0.0
33;FS26K9;Casa do Chef Recife;Recife;sUgkdp;14/03/2025 00:00;210;oC66Cr;306634;DirectOrder;POS;Facilis sed hic.;False;4910;False;SCHEDULED;INDOOR;WEB;;PENDING;22;1213;85,51;3.8;14/03/2025 02:00;v2.0.0
34;QW77C2;Padaria Vila Nova;Campinas;qnTqBs;27/03/2025 00:00;952;st82et;851430;DirectOrder;POS;Sunt unde natus ratione nulla soluta ipsam.;True;1152;False;SCHEDULED;TAKEOUT;EPADOCA;;CONCLUDED;14;1509;30,00;3.9;27/03/2025 02:00;v2.0.0
35;FS26K9;Casa do Chef Recife;Recife;NxWTVD;13/01/2025 00:00;272;ML97ub;348943;DirectOrder;POS;Quas provident ullam delectus.;True;6718;False;IMMEDIATE;DELIVERY;APP;;CONCLUDED;38;953;72,16;3.8;13/01/2025 02:00;v2.0.0
36;BV62F5;Restaurante Mar Azul;Salvador;SPYzGc;06/02/2025 00:00;721;Lv93KU;247422;DirectOrder;POS;Optio illo occaecati.;False;9666;False;IMMEDIATE;TAKEOUT;WEB;;DISPATCHED;25;1236;93,68;4.3;06/02/2025 02:00;v2.0.0
37;ER35J8;Pizza do Porto;Porto Alegre;UWcIZk;08/02/2025 00:00;900;Lz96Ia;713998;DirectOrder;POS;Molestias voluptas nostrum error quis odio officiis.;True;5333;False;IMMEDIATE;DELIVERY;WHATSAPP;;CONCLUDED;26;935;81,65;3.9;08/02/2025 02:00;v2.0.0
38;ER35J8;Pizza do Porto;Porto Alegre;VJtdgY;20/01/2025 00:00;735;Qh90Ut;943455;DirectOrder;POS;Cumque deleniti eveniet molestiae culpa.;False;4335;False;SCHEDULED;TAKEOUT;APP;;CONCLUDED;36;1269;85,33;3.8;20/01/2025 02:00;v2.0.0
39;DQ44H7;Sabores do Norte;Manaus;NqqyDs;02/02/2025 00:00;95;EU06BN;337198;DirectOrder;POS;Odit saepe magni voluptatibus labore eligendi error.;False;5533;False;IMMEDIATE;DELIVERY;WHATSAPP;;DISPATCHED;28;1057;54,41;3.1;02/02/2025 02:00;v2.0.0
40;BV62F5;Restaurante Mar Azul;Salvador;wpTAQg;09/04/2025 00:00;166;Ml66VO;734169;DirectOrder;POS;Nihil dolore laudantium consequuntur quaerat modi commodi.;False;8007;False;IMMEDIATE;DELIVERY;APP;;PENDING;28;1331;100,00;4.1;09/04/2025 02:00;v2.0.0
41;ZP930B;Boteco Paulista;Sao Paulo;OENnkM;01/05/2025 00:00;559;Jg15PM;223164;DirectOrder;POS;Sapiente consequuntur voluptates odio beatae quam.;True;7049;False;IMMEDIATE;INDOOR;WHATSAPP;;PENDING;27;1035;45,35;3.4;01/05/2025 02:00;v2.0.0
42;QW77C2;Padaria Vila Nova;Campinas;LYbNGr;06/01/2025 00:00;816;lb25ja;481663;DirectOrder;POS;Impedit quisquam officia.;True;6862;False;IMMEDIATE;TAKEOUT;EPADOCA;;DISPATCHED;20;1579;36,38;3.9;06/01/2025 02:00;v2.0.0
43;MN55D3;Delivery do Centro;Rio de Janeiro;rhQrxX;27/03/2025 00:00;906;EK86rh;281885;DirectOrder;POS;Voluptates quae provident.;False;3532;False;IMMEDIATE;DELIVERY;APP;;DISPATCHED;24;1036;66,91;2.9;27/03/2025 02:00;v2.0.0
44;QW77C2;Padaria Vila Nova;Campinas;nkqeQc;23/04/2025 00:00;947;pG78gn;706060;DirectOrder;POS;Nam recusandae dicta odio atque.;False;7745;False;IMMEDIATE;INDOOR;EPADOCA;;CONCLUDED;18;1365;30,57;3.9;23/04/2025 02:00;v2.0.0
45;QW77C2;Padaria Vila Nova;Campinas;PstXgt;11/04/2025 00:00;40;yZ18wg;493989;DirectOrder;POS;Labore porro magni iusto.;False;4644;False;IMMEDIATE;INDOOR;EPADOCA;;CONCLUDED;17;1744;31,07;4.2;11/04/2025 02:00;v2.0.0
46;BV62F5;Restaurante Mar Azul;Salvador;FmGSyr;09/02/2025 00:00;229;md07NH;303420;DirectOrder;POS;Excepturi perferendis qui consectetur cumque.;True;4164;False;SCHEDULED;INDOOR;99FOOD;;DISPATCHED;29;1296;100,00;3.8;09/02/2025 02:00;v2.0.0
47;AJ81E4;Cantina Horizonte;Belo Horizonte;jsLaox;21/04/2025 00:00;360;av69RJ;029692;DirectOrder;POS;Assumenda modi cum modi deserunt repudiandae atque.;False;9785;False;SCHEDULED;DELIVERY;APP;;DISPATCHED;28;1185;43,19;3.8;21/04/2025 02:00;v2.0.0
48;ZP930B;Boteco Paulista;Sao Paulo;NuQlDi;23/04/2025 00:00;986;Hz02gY;189193;DirectOrder;POS;Velit eos ipsa unde explicabo.;False;1626;False;IMMEDIATE;TAKEOUT;WHATSAPP;;CONCLUDED;20;1371;46,62;2.9;23/04/2025 02:00;v2.0.0
49;CP53G6;Emporio Serra Verde;Curitiba;BjGlcK;14/02/2025 00:00;621;Xj29NK;857887;DirectOrder;POS;Ratione mollitia sit sit id id.;True;7311;False;IMMEDIATE;INDOOR;99FOOD;;CONCLUDED;24;1277;100,00;4.1;14/02/2025 02:00;v2.0.0
50;LXK0A1;Cantina Liberdade;Sao Paulo;nCoqLl;01/04/2025 00:00;826;Ch20vI;710808;DirectOrder;POS;Consectetur quo nihil amet culpa maxime quas odio.;True;6967;False;SCHEDULED;DELIVERY;WEB;;CONCLUDED;28;971;35,32;3.3;01/04/2025 02:00;v2.0.0
51;BV62F5;Restaurante Mar Azul;Salvador;hHKNLS;21/03/2025 00:00;738;QB80wN;964333;DirectOrder;POS;Neque consequuntur voluptatem quis.;False;9308;False;SCHEDULED;TAKEOUT;EPADOCA;;DISPATCHED;46;1410;95,80;4.1;21/03/2025 02:00;v2.0.0
52;CP53G6;Emporio Serra Verde;Curitiba;QhGSdz;11/02/2025 00:00;131;YA02to;130262;DirectOrder;POS;Non totam excepturi nulla.;True;7888;False;SCHEDULED;TAKEOUT;WEB;;CONCLUDED;26;1302;73,70;4.2;11/02/2025 02:00;v2.0.0
53;QW77C2;Padaria Vila Nova;Campinas;lAIbJN;20/03/2025 00:00;854;Mw79Gd;855793;DirectOrder;POS;Rerum alias corrupti ratione.;True;5978;False;SCHEDULED;DELIVERY;EPADOCA;;CONCLUDED;20;1427;33,87;4.5;20/03/2025 02:00;v2.0.0
54;CP53G6;Emporio Serra Verde;Curitiba;IPBqnS;11/04/2025 00:00;477;yi74Fe;677658;DirectOrder;POS;Qui inventore corporis debitis.;False;8244;False;IMMEDIATE;TAKEOUT;EPADOCA;;CANCELED;22;1351;100,00;4.5;11/04/2025 02:00;v2.0.0
55;DQ44H7;Sabores do Norte;Manaus;LQxtXI;12/04/2025 00:00;174;Ka60Rc;959266;DirectOrder;POS;Provident blanditiis consequuntur iste nam.;True;5649;False;SCHEDULED;DELIVERY;WHATSAPP;;DISPATCHED;24;1216;53,38;2.9;12/04/2025 02:00;v2.0.0
56;MN55D3;Delivery do Centro;Rio de Janeiro;FyPMFK;28/03/2025 00:00;151;Fm93ZB;843783;DirectOrder;POS;Ea commodi maiores quidem inventore.;True;1757;False;IMMEDIATE;INDOOR;EPADOCA;;DISPATCHED;34;877;99,16;2.9;28/03/2025 02:00;v2.0.0
57;FS26K9;Casa do Chef Recife;Recife;Ajyzwc;19/04/2025 00:00;908;sR06sH;294791;DirectOrder;POS;Qui eveniet voluptatibus deserunt natus officia eos.;True;7291;False;SCHEDULED;INDOOR;99FOOD;;CONCLUDED;33;984;76,86;4.2;19/04/2025 02:00;v2.0.0
58;MN55D3;Delivery do Centro;Rio de Janeiro;GTvOvO;19/01/2025 00:00;769;zF79xv;678043;DirectOrder;POS;Quidem ut dolorem reiciendis nulla eaque expedita.;True;7965;False;IMMEDIATE;DELIVERY;99FOOD;;CONCLUDED;25;1243;60,99;3.3;19/01/2025 02:00;v2.0.0
59;ER35J8;Pizza do Porto;Porto Alegre;mlZZym;01/03/2025 00:00;869;CM06cq;428294;DirectOrder;POS;Nobis deserunt quisquam modi.;True;8478;False;IMMEDIATE;INDOOR;APP;;CONCLUDED;50;1326;78,64;3.5;01/03/2025 02:00;v2.0.0
60;ER35J8;Pizza do Porto;Porto Alegre;mAfCOG;13/03/2025 00:00;913;PM73TU;570576;DirectOrder;POS;Incidunt pariatur aspernatur libero culpa non alias.;False;9270;False;SCHEDULED;TAKEOUT;EPADOCA;;PENDING;30;1370;49,57;3.7;13/03/2025 02:00;v2.0.0
61;DQ44H7;Sabores do Norte;Manaus;JVtSdu;25/04/2025 00:00;461;YO28ZA;845684;DirectOrder;POS;Iusto est consequatur recusandae architecto eum.;False;5050;False;SCHEDULED;TAKEOUT;WEB;;DISPATCHED;29;1373;53,16;3.0;25/04/2025 02:00;v2.0.0
62;DQ44H7;Sabores do Norte;Manaus;ttTvBD;22/03/2025 00:00;731;OD85ac;023894;DirectOrder;POS;Natus sapiente veniam delectus dignissimos nemo.;False;4841;False;SCHEDULED;INDOOR;WEB;;CONCLUDED;24;1069;48,60;2.9;22/03/2025 02:00;v2.0.0
63;BV62F5;Restaurante Mar Azul;Salvador;aERWhV;25/04/2025 00:00;237;bJ90oC;003130;DirectOrder;POS;Unde neque placeat eaque eos tempore sint provident.;False;3503;False;IMMEDIATE;DELIVERY;99FOOD;;CONCLUDED;28;1383;100,00;4.1;25/04/2025 02:00;v2.0.0
64;CP53G6;Emporio Serra Verde;Curitiba;dnyEDc;22/02/2025 00:00;64;mH41xG;251537;DirectOrder;POS;Sint aperiam labore quidem rerum vero ut.;True;7883;False;SCHEDULED;TAKEOUT;WEB;;CONCLUDED;16;1103;100,00;4.5;22/02/2025 02:00;v2.0.0
65;LXK0A1;Cantina Liberdade;Sao Paulo;CQCMax;20/04/2025 00:00;489;VM98gM;651010;DirectOrder;POS;Necessitatibus inventore maxime perspiciatis eius dolore.;True;6763;False;SCHEDULED;INDOOR;WHATSAPP;;CONCLUDED;30;1354;51,58;3.1;20/04/2025 02:00;v2.0.0
66;CP53G6;Emporio Serra Verde;Curitiba;HMwSDJ;10/03/2025 00:00;618;tn97VF;716401;DirectOrder;POS;Explicabo corporis nemo quae sequi magni sint aspernatur.;True;8999;False;IMMEDIATE;INDOOR;99FOOD;;CONCLUDED;10;995;81,65;4.4;10/03/2025 02:00;v2.0.0
67;CP53G6;Emporio Serra Verde;Curitiba;JxaOWR;04/03/2025 00:00;696;RU28pt;094091;DirectOrder;POS;Impedit accusamus quidem repellat assumenda hic magni.;False;3704;False;SCHEDULED;DELIVERY;APP;;CONCLUDED;31;913;93,54;4.1;04/03/2025 02:00;v2.0.0
68;FS26K9;Casa do Chef Recife;Recife;VpvkPC;10/03/2025 00:00;578;dP57fB;665444;DirectOrder;POS;Odit nemo error blanditiis totam.;True;2375;False;SCHEDULED;DELIVERY;APP;;CONCLUDED;42;912;77,35;3.9;10/03/2025 02:00;v2.0.0
69;DQ44H7;Sabores do Norte;Manaus;ovJaGh;24/01/2025 00:00;217;UU54xy;881081;DirectOrder;POS;Iste quisquam enim eius.;False;6355;False;SCHEDULED;INDOOR;APP;;CONCLUDED;21;1292;74,98;3.0;24/01/2025 02:00;v2.0.0
70;AJ81E4;Cantina Horizonte;Belo Horizonte;lGEzqj;07/04/2025 00:00;855;Gf33Ew;007014;DirectOrder;POS;Fuga dolor quo dolore eius.;True;8705;False;IMMEDIATE;TAKEOUT;WHATSAPP;;CONCLUDED;26;1122;46,61;3.4;07/04/2025 02:00;v2.0.0
71;ER35J8;Pizza do Porto;Porto Alegre;dExMAf;07/01/2025 00:00;666;MI41ci;465833;DirectOrder;POS;Nisi quod quidem atque sed.;True;1659;False;IMMEDIATE;DELIVERY;WHATSAPP;;CONCLUDED;46;952;79,59;3.9;07/01/2025 02:00;v2.0.0
72;MN55D3;Delivery do Centro;Rio de Janeiro;cPPXdX;18/04/2025 00:00;130;YV00kG;942252;DirectOrder;POS;Quo deleniti vel delectus accusamus.;False;2874;False;IMMEDIATE;INDOOR;APP;;CONCLUDED;29;1317;96,88;2.9;18/04/2025 02:00;v2.0.0
73;AJ81E4;Cantina Horizonte;Belo Horizonte;enFsGH;09/04/2025 00:00;987;BC14LZ;712347;DirectOrder;POS;Tenetur maxime veritatis dicta esse quidem.;True;3683;False;SCHEDULED;DELIVERY;APP;;CONCLUDED;24;1101;47,28;3.4;09/04/2025 02:00;v2.0.0
74;FS26K9;Casa do Chef Recife;Recife;LAPDmC;04/01/2025 00:00;930;BS99EW;670892;DirectOrder;POS;Ipsa architecto deleniti autem sed quis.;False;7498;False;IMMEDIATE;DELIVERY;WHATSAPP;;CONCLUDED;35;1061;75,09;4.1;04/01/2025 02:00;v2.0.0
75;FS26K9;Casa do Chef Recife;Recife;xyLYyb;30/03/2025 00:00;714;AY02ZL;079814;DirectOrder;POS;Itaque maiores repellendus nisi.;False;2983;False;IMMEDIATE;INDOOR;99FOOD;;CONCLUDED;38;1325;97,60;4.0;30/03/2025 02:00;v2.0.0
76;ER35J8;Pizza do Porto;Porto Alegre;qcQgVN;24/02/2025 00:00;664;fB58fe;706497;DirectOrder;POS;Autem odio quibusdam delectus.;False;1207;False;SCHEDULED;INDOOR;EPADOCA;;CONCLUDED;40;1322;66,36;3.6;24/02/2025 02:00;v2.0.0
77;ZP930B;Boteco Paulista;Sao Paulo;bknmzJ;25/02/2025 00:00;849;Qu63ko;901063;DirectOrder;POS;Omnis nesciunt praesentium velit error.;False;3506;False;SCHEDULED;DELIVERY;WHATSAPP;;CONCLUDED;27;1081;54,79;3.2;25/02/2025 02:00;v2.0.0
78;ER35J8;Pizza do Porto;Porto Alegre;TXzTZM;25/03/2025 00:00;552;zJ08ei;478079;DirectOrder;POS;Minus adipisci fuga non sit.;False;8616;False;SCHEDULED;TAKEOUT;APP;;DISPATCHED;33;1419;85,68;3.6;25/03/2025 02:00;v2.0.0
79;FS26K9;Casa do Chef Recife;Recife;EuLxFf;04/02/2025 00:00;958;Gp07EW;743191;DirectOrder;POS;Dignissimos veniam quae ratione.;True;5569;False;SCHEDULED;DELIVERY;WEB;;CONCLUDED;41;1204;96,48;4.1;04/02/2025 02:00;v2.0.0
80;DQ44H7;Sabores do Norte;Manaus;wvZImk;14/03/2025 00:00;30;ga46yE;489863;DirectOrder;POS;Unde beatae voluptatem illum voluptatum laudantium qui.;False;6325;False;IMMEDIATE;INDOOR;WHATSAPP;;CONCLUDED;28;1173;69,61;2.9;14/03/2025 02:00;v2.0.0
81;MN55D3;Delivery do Centro;Rio de Janeiro;VzsCob;15/02/2025 00:00;902;XJ77za;202651;DirectOrder;POS;Id reprehenderit quos.;False;1166;False;IMMEDIATE;DELIVERY;99FOOD;;CONCLUDED;25;1618;71,22;3.2;15/02/2025 02:00;v2.0.0
82;MN55D3;Delivery do Centro;Rio de Janeiro;ruLARU;03/04/2025 00:00;247;xp67iK;644909;DirectOrder;POS;Tempore architecto voluptatibus iste.;False;9041;False;SCHEDULED;DELIVERY;EPADOCA;;CONCLUDED;36;1358;57,32;2.9;03/04/2025 02:00;v2.0.0
83;ZP930B;Boteco Paulista;Sao Paulo;kTckuK;07/02/2025 00:00;314;Dm84Fg;130540;DirectOrder;POS;Labore aut labore magnam eius reprehenderit delectus quia.;False;8753;False;SCHEDULED;INDOOR;WEB;;CANCELED;21;1020;61,18;3.4;07/02/2025 02:00;v2.0.0
84;ER35J8;Pizza do Porto;Porto Alegre;fBJiiI;12/02/2025 00:00;314;tQ63dZ;224948;DirectOrder;POS;Dolores tenetur reiciendis enim.;False;4777;False;IMMEDIATE;TAKEOUT;APP;;CONCLUDED;41;1170;79,06;3.5;12/02/2025 02:00;v2.0.0
85;MN55D3;Delivery do Centro;Rio de Janeiro;EoDBoN;10/02/2025 00:00;781;eL97Ns;829097;DirectOrder;POS;Libero ullam quos quam.;True;4138;False;IMMEDIATE;TAKEOUT;APP;;CONCLUDED;32;1087;59,60;3.0;10/02/2025 02:00;v2.0.0
86;DQ44H7;Sabores do Norte;Manaus;YMKEGC;05/02/2025 00:00;538;hr62Mm;199711;DirectOrder;POS;Minima laboriosam qui dolore.;False;2647;False;IMMEDIATE;INDOOR;WHATSAPP;;PENDING;28;1098;52,82;3.1;05/02/2025 02:00;v2.0.0
87;MN55D3;Delivery do Centro;Rio de Janeiro;ENtjOG;16/02/2025 00:00;547;Ss43PU;876081;DirectOrder;POS;Alias assumenda omnis dolorum quam excepturi.;True;5494;False;IMMEDIATE;DELIVERY;WEB;;CONCLUDED;21;918;64,06;3.2;16/02/2025 02:00;v2.0.0
88;ER35J8;Pizza do Porto;Porto Alegre;lwMwcC;07/02/2025 00:00;890;lD74FB;323424;DirectOrder;POS;Nostrum a id dolores aut blanditiis ratione.;False;2680;False;IMMEDIATE;TAKEOUT;EPADOCA;;CONCLUDED;37;1495;67,91;3.6;07/02/2025 02:00;v2.0.0
89;AJ81E4;Cantina Horizonte;Belo Horizonte;gcBOOr;02/03/2025 00:00;989;xJ11Xk;975005;DirectOrder;POS;Voluptatibus sit quia ut sapiente.;True;5136;False;SCHEDULED;DELIVERY;WEB;;CONCLUDED;25;999;51,95;3.6;02/03/2025 02:00;v2.0.0
90;ZP930B;Boteco Paulista;Sao Paulo;MpSErM;21/02/2025 00:00;703;Jh30Bu;846006;DirectOrder;POS;Expedita autem totam.;True;3485;False;IMMEDIATE;TAKEOUT;WEB;;CONCLUDED;23;1034;54,82;3.1;21/02/2025 02:00;v2.0.0
91;AJ81E4;Cantina Horizonte;Belo Horizonte;GPxNBH;11/01/2025 00:00;783;yl65bz;989261;DirectOrder;POS;Sequi iure neque.;False;4697;False;SCHEDULED;INDOOR;WHATSAPP;;CONCLUDED;25;1280;49,21;4.0;11/01/2025 02:00;v2.0.0
