id;segmentId;templateId;storeId;name;description;badge;type;status;isDefault;createdAt;createdBy;updatedAt;updatedBy
21;2;2;BV62F5;Campanha Deserunt WR;Nulla asperiores cupiditate odio.;loyalty;2;2;True;2025-06-13 04:34:40;isabelapinto;2025-07-13 04:34:40;ian51
22;1;4;BV62F5;Campanha Unde GF;Eveniet saepe quaerat natus sed.;winback;1;3;False;2025-09-17 21:36:49;antonella11;2025-10-17 21:36:49;brenomarques
23;5;2;MN55D3;Campanha Accusantium GH;Tempore delectus vero totam soluta corrupti assumenda.;delivery;2;1;False;2025-07-30 19:49:27;luna60;2025-08-29 19:49:27;samuel00
24;5;2;ZP930B;Campanha Laboriosam MQ;Similique ducimus dolor deserunt placeat.;delivery;2;2;False;2025-10-12 07:54:27;marina52;2025-11-11 07:54:27;bcavalcanti
25;5;1;FS26K9;Campanha Animi FP;Debitis doloribus nobis fuga.;delivery;1;4;True;2025-07-28 04:17:08;kaique39;2025-08-27 04:17:08;luigiaparecida
26;1;3;BV62F5;Campanha Commodi CG;Voluptatum impedit doloribus.;migration;2;1;True;2025-07-16 20:05:42;pastorleo;2025-08-15 20:05:42;amartins
27;5;1;CP53G6;Campanha Sint ZW;Delectus et laborum eveniet similique animi reiciendis exercitationem.;loyalty;2;1;False;2025-08-12 17:35:59;mendoncathales;2025-09-11 17:35:59;stella44
28;5;5;QW77C2;Campanha Ut IL;Atque ipsa illo culpa in.;delivery;1;2;True;2025-10-10 04:02:56;arezende;2025-11-09 04:02:56;nicole48
29;4;4;FS26K9;Campanha Eligendi JW;Quisquam maxime dignissimos enim.;loyalty;1;4;False;2025-05-28 14:16:56;bryanda-paz;2025-06-27 14:16:56;cavalcantebernardo
30;4;2;QW77C2;Campanha Officia AB;Excepturi fugiat voluptatibus iusto.;delivery;1;4;True;2025-05-31 14:34:37;diasjoao-gabriel;2025-06-30 14:34:37;icamargo
31;5;4;AJ81E4;Campanha Modi KN;Omnis dignissimos impedit debitis error voluptatum.;loyalty;2;4;True;2025-08-22 22:14:27;liviarocha;2025-09-21 22:14:27;maria-fernanda81
32;2;4;ER35J8;Campanha Dicta JG;Aut inventore officia alias aspernatur in quod.;winback;2;4;True;2025-07-17 21:30:54;qsampaio;2025-08-16 21:30:54;mouragael
33;5;5;ER35J8;Campanha Perspiciatis GH;Accusantium porro accusamus vero possimus.;winback;1;1;False;2025-08-02 09:41:46;joaquim99;2025-09-01 09:41:46;laurada-paz
34;4;3;FS26K9;Campanha Dolorum RV;Facilis perspiciatis debitis cumque minus.;loyalty;1;4;False;2025-06-12 13:39:17;santosana-livia;2025-07-12 13:39:17;kamillyaragao
35;3;3;MN55D3;Campanha Illum XX;Tempore dolores nemo omnis quod aliquid blanditiis.;delivery;2;1;False;2025-07-17 23:53:26;laura31;2025-08-16 23:53:26;alvesana-julia
36;2;3;FS26K9;Campanha Accusantium FU;Vitae quam incidunt error a.;migration;1;4;True;2025-10-23 22:09:32;ayllamonteiro;2025-11-22 22:09:32;bento57
37;2;2;BV62F5;Campanha Quis FB;Libero nobis ducimus autem repudiandae exercitationem excepturi.;winback;1;1;True;2025-08-07 04:12:58;theodoro91;2025-09-06 04:12:58;pmendes
38;2;5;QW77C2;Campanha Animi DK;Temporibus numquam dolor distinctio ducimus.;delivery;1;3;True;2025-10-02 07:06:22;gcosta;2025-11-01 07:06:22;enzo92
39;3;4;DQ44H7;Campanha Consequatur KR;Ipsum ex aspernatur dolore eum vel repellat.;loyalty;2;2;True;2025-10-11 09:50:05;gmelo;2025-11-10 09:50:05;limahenry
40;2;5;ER35J8;Campanha Error IQ;Dolor explicabo natus laboriosam officiis recusandae iusto.;delivery;2;2;True;2025-06-12 04:50:11;frezende;2025-07-12 04:50:11;bda-mota
41;4;5;ER35J8;Campanha Dolorum BZ;Itaque asperiores nisi suscipit eos cupiditate.;loyalty;2;2;True;2025-10-06 11:40:54;zoe99;2025-11-05 11:40:54;alvesrafaela
42;3;2;FS26K9;Campanha Architecto UO;Et animi rem nam.;delivery;1;4;True;2025-10-09 09:21:49;pachecomirella;2025-11-08 09:21:49;eduarda24
43;1;4;AJ81E4;Campanha Quibusdam CR;Aliquam nisi distinctio maiores.;delivery;1;1;False;2025-08-30 07:09:15;sbrito;2025-09-29 07:09:15;carvalhodavi-lucca
44;4;2;CP53G6;Campanha Perferendis VA;Id modi aut dicta odio repellat quo deleniti.;loyalty;2;4;True;2025-07-10 12:53:01;qdias;2025-08-09 12:53:01;jadeda-paz
45;2;2;ER35J8;Campanha Amet OY;Eaque amet repudiandae est est eius.;migration;1;1;True;2025-11-07 05:59:02;enogueira;2025-12-07 05:59:02;liz67
46;5;3;BV62F5;Campanha Placeat IN;Sequi repellat quae provident impedit.;migration;2;2;True;2025-07-24 09:22:19;danielada-luz;2025-08-23 09:22:19;joaquimduarte
47;3;3;BV62F5;Campanha Soluta QZ;Officiis fugit error tempora modi eligendi.;delivery;1;3;True;2025-09-13 02:33:06;ramosraquel;2025-10-13 02:33:06;fernandesmariah
48;3;4;LXK0A1;Campanha Ipsa JN;Maiores debitis quae ratione vitae.;delivery;1;2;False;2025-07-31 22:06:51;ana-sophiagoncalves;2025-08-30 22:06:51;brunafreitas
49;4;2;ZP930B;Campanha Dicta AX;Nemo neque ut eius deleniti consequuntur.;migration;1;4;True;2025-05-22 11:57:51;moreiramanuella;2025-06-21 11:57:51;mendoncacaleb
50;5;2;CP53G6;Campanha Dolore ST;Dicta amet quisquam enim.;delivery;2;4;True;2025-06-20 10:02:49;mendesana;2025-07-20 10:02:49;dporto
51;2;2;FS26K9;Campanha Aliquid RD;Dolorem veniam placeat minima.;winback;1;3;True;2025-06-15 13:50:06;marcos-vinicius45;2025-07-15 13:50:06;oliviafernandes
52;4;2;FS26K9;Campanha Illum KN;Similique quisquam tempora velit numquam occaecati.;winback;2;1;True;2025-08-05 04:06:05;ncostela;2025-09-04 04:06:05;sophie45
53;2;3;QW77C2;Campanha Ipsa RX;Iure quam perspiciatis reprehenderit.;loyalty;2;4;False;2025-06-08 12:27:57;jvasconcelos;2025-07-08 12:27:57;cirinomirella
54;3;4;AJ81E4;Campanha Placeat UZ;Voluptatem laboriosam aliquam optio placeat maxime unde minima.;winback;1;1;True;2025-11-01 04:35:51;luanfonseca;2025-12-01 04:35:51;wda-rosa
55;2;1;FS26K9;Campanha Dolorum QP;Cupiditate tempora pariatur eligendi libero.;delivery;1;2;True;2025-06-10 15:04:50;grodrigues;2025-07-10 15:04:50;isaac26
56;1;3;ZP930B;Campanha Sint KP;Sit aspernatur quam hic.;migration;1;4;False;2025-10-27 18:25:57;pfarias;2025-11-26 18:25:57;silvaolivia
57;2;4;DQ44H7;Campanha Ea IL;Officiis aspernatur ut eligendi.;migration;1;2;True;2025-06-01 09:01:18;nathanmacedo;2025-07-01 09:01:18;ceciliaviana
58;2;1;CP53G6;Campanha Quasi DH;Distinctio iure ab incidunt.;loyalty;2;4;True;2025-06-01 14:53:35;emanuella88;2025-07-01 14:53:35;marquescaleb
59;2;2;ZP930B;Campanha Delectus GY;Illum fugiat adipisci perferendis.;winback;2;4;False;2025-09-28 11:36:05;luiz-otavio44;2025-10-28 11:36:05;rezendezoe
60;4;2;CP53G6;Campanha Amet MF;Explicabo placeat aliquid fuga perferendis illum eligendi.;migration;1;4;False;2025-10-17 08:33:51;silveiraana-cecilia;2025-11-16 08:33:51;da-cunhasara
61;4;5;FS26K9;Campanha Ullam MK;Suscipit dolores rerum consequuntur quam minima.;loyalty;1;4;False;2025-06-14 15:19:53;joao-vitor32;2025-07-14 15:19:53;kaique93
62;1;2;ER35J8;Campanha Quasi DK;Soluta labore esse laboriosam.;migration;1;4;True;2025-08-30 13:19:21;oda-conceicao;2025-09-29 13:19:21;obrito
63;2;3;DQ44H7;Campanha In PT;Itaque sunt aliquam atque.;migration;2;3;False;2025-10-11 21:40:35;hadassaaragao;2025-11-10 21:40:35;fbrito
64;2;4;AJ81E4;Campanha Voluptate ZS;Adipisci provident dicta saepe.;loyalty;1;4;False;2025-10-01 00:56:47;henry-gabriel67;2025-10-31 00:56:47;vinicius42
65;1;5;ZP930B;Campanha Error YN;Ut amet sed maxime.;winback;1;4;False;2025-11-04 17:51:06;ycassiano;2025-12-04 17:51:06;isispeixoto
66;3;4;LXK0A1;Campanha Officia TE;Porro dicta ut ipsum sed.;winback;2;2;False;2025-08-27 16:31:31;arthurpimenta;2025-09-26 16:31:31;lunnafonseca
67;1;3;BV62F5;Campanha Nesciunt GD;Illum eius veritatis voluptas.;winback;1;1;True;2025-09-21 23:32:29;correiaaugusto;2025-10-21 23:32:29;tsa
68;4;3;ZP930B;Campanha Sed VP;Cumque nulla harum odit distinctio.;migration;1;4;False;2025-07-02 00:16:55;isabelsiqueira;2025-08-01 00:16:55;luisaandrade
69;1;2;BV62F5;Campanha Recusandae XT;Quas minima rem rem ipsa.;winback;1;2;True;2025-10-24 22:34:51;da-luzana-carolina;2025-11-23 22:34:51;camilafreitas
70;1;4;AJ81E4;Campanha Consectetur EK;Animi laboriosam unde.;delivery;2;3;True;2025-07-27 19:08:42;araujobernardo;2025-08-26 19:08:42;da-costaisabella
71;1;2;MN55D3;Campanha Nulla CA;Nesciunt quia odio provident blanditiis accusantium.;loyalty;2;1;False;2025-09-27 10:29:59;cavalcanteisaac;2025-10-27 10:29:59;nicolas00
72;4;4;ER35J8;Campanha Ipsum HO;Perspiciatis ea facilis illum voluptatibus autem iure qui.;loyalty;2;2;True;2025-05-18 21:12:31;emoreira;2025-06-17 21:12:31;jda-mota
73;5;4;DQ44H7;Campanha Inventore VP;Earum praesentium pariatur accusamus repudiandae quod perspiciatis.;migration;2;1;True;2025-09-19 17:25:47;maria04;2025-10-19 17:25:47;oguerra
74;2;5;AJ81E4;Campanha Officia MP;Maxime veniam aperiam officiis.;winback;1;2;True;2025-06-27 23:27:48;enzo-gabrielcavalcanti;2025-07-27 23:27:48;gustavocirino
75;1;3;LXK0A1;Campanha Magnam PB;Iure officia tenetur rerum architecto laborum aliquam.;winback;1;3;False;2025-06-09 10:47:05;oliveirarafaela;2025-07-09 10:47:05;domcamargo
76;1;1;ZP930B;Campanha Aut JR;Accusamus rerum in odit amet libero laboriosam.;migration;1;2;False;2025-10-01 10:28:50;diegopeixoto;2025-10-31 10:28:50;marcos-viniciusviana
77;5;5;FS26K9;Campanha Quam QG;Dicta debitis impedit laudantium veritatis placeat quaerat ducimus.;winback;2;3;True;2025-10-08 14:46:04;salesdom;2025-11-07 14:46:04;kmachado
78;1;3;BV62F5;Campanha Quas UF;Vitae dolores aliquid aperiam id at ad.;delivery;2;1;False;2025-10-28 23:26:41;vpeixoto;2025-11-27 23:26:41;thiagoramos
79;5;1;AJ81E4;Campanha Laborum TF;Nisi nisi corporis aspernatur maiores accusamus quisquam.;migration;1;1;False;2025-06-18 08:47:15;da-rosajoao-gabriel;2025-07-18 08:47:15;cmoreira
80;3;5;CP53G6;Campanha Velit JY;Cumque magnam nihil cum fugit atque.;winback;1;1;True;2025-08-21 12:11:41;cassianonina;2025-09-20 12:11:41;igorfreitas
81;5;5;ZP930B;Campanha Consequatur WI;Temporibus aspernatur vel voluptate reprehenderit delectus.;migration;2;4;False;2025-10-01 22:48:12;alice02;2025-10-31 22:48:12;juliana53
82;3;5;FS26K9;Campanha Eos BH;Aliquam eveniet laudantium ipsum doloremque neque aliquid.;delivery;1;4;False;2025-07-22 23:57:13;maysa97;2025-08-21 23:57:13;mariapires
83;4;2;FS26K9;Campanha Officia AR;Quis possimus fugiat corrupti non saepe tempore natus.;winback;2;2;True;2025-07-12 22:08:35;mirella38;2025-08-11 22:08:35;pietra75
84;1;1;DQ44H7;Campanha Iusto QA;Nam iure explicabo dolorum.;loyalty;1;4;False;2025-09-15 01:22:38;mayasales;2025-10-15 01:22:38;danilocassiano
85;1;3;BV62F5;Campanha Blanditiis JQ;Veniam harum repudiandae.;winback;1;2;False;2025-10-18 09:47:40;anamacedo;2025-11-17 09:47:40;pintodavi
86;3;1;AJ81E4;Campanha Optio ZU;Ratione autem ipsa dolore qui.;delivery;2;1;True;2025-11-07 02:26:54;leo30;2025-12-07 02:26:54;sahenrique
87;3;3;CP53G6;Campanha Dolorem DC;Soluta possimus recusandae laudantium tempore dicta ratione.;loyalty;1;2;False;2025-08-31 12:23:57;apollofogaca;2025-09-30 12:23:57;maria-alicenovais
88;3;4;DQ44H7;Campanha Voluptatum JX;Non quasi doloremque voluptas.;loyalty;1;4;True;2025-06-06 10:34:12;benjamimsousa;2025-07-06 10:34:12;da-matajade
89;4;5;BV62F5;Campanha Repellat IM;Aspernatur iusto facilis voluptatibus beatae molestias.;migration;2;1;False;2025-08-31 06:03:07;antonio25;2025-09-30 06:03:07;joseda-cruz
90;5;3;ER35J8;Campanha Ducimus QM;Ipsum rerum quam facilis.;loyalty;1;3;False;2025-08-10 14:02:52;ucavalcanti;2025-09-09 14:02:52;maysaaragao
